State,specifier,agency,race,religion,sexualOrientation,disability,gender
,,Antioch,1,0,1,0,0,2,0,0,0,"101,243"
,,Arcata,0,0,1,0,0,0,0,0,1,"17,093"
,,Atherton,0,1,0,1,0,0,2,0,0,"7,430"
,,Avalon,0,0,1,0,0,1,0,0,0,"3,098"
,,Azusa,2,0,0,0,0,0,0,2,0,"47,078"
,,Bakersfield,1,0,0,1,0,0,1,1,0,"330,897"
,,Bellflower,1,1,0,0,0,1,0,1,0,"73,038"
,,Belmont,1,0,1,0,0,0,0,1,1,"24,742"
,,Benicia,1,0,0,0,0,0,1,0,0,"26,089"
,,Berkeley,0,0,0,1,0,0,0,0,1,"101,190"
,,Beverly Hills,2,0,0,0,0,0,0,0,2,"34,506"
,,Blythe,0,1,0,0,0,0,0,0,1,"21,841"
,,Brawley,0,0,1,0,0,0,0,1,0,"22,810"
,,Brentwood,1,0,0,0,0,0,0,1,0,"53,494"
,,Burbank,1,0,0,1,0,1,1,0,0,"103,248"
,,Camarillo,0,1,0,0,0,1,0,0,0,"64,011"
,,Campbell,1,2,1,0,0,1,1,1,1,"38,584"
,,Carpinteria,0,0,0,1,0,1,0,0,0,"13,595"
,,Carson,0,0,0,2,0,0,0,2,0,"92,635"
,,Cathedral City,0,1,0,0,0,1,0,0,0,"53,236"
,,Cerritos,1,0,0,0,0,0,0,1,0,"51,299"
,,Chico,1,0,0,0,0,1,0,0,0,"84,724"
,,Chowchilla,0,0,0,1,0,0,0,0,1,"19,817"
,,Chula Vista,1,2,0,2,0,2,1,1,1,"224,841"
,,Citrus Heights,1,0,0,1,0,0,1,0,1,"84,333"
,,City of Angels,1,1,0,1,0,2,0,0,1,"3,804"
,,Clearlake,1,0,0,0,0,0,1,0,0,"15,261"
,,Commerce,0,0,0,1,0,0,0,1,0,"13,529"
,,Compton,2,0,0,0,0,0,0,0,2,"93,872"
,,Concord,2,0,2,0,0,2,2,0,0,"121,042"
,,Corona,1,1,2,1,0,0,2,2,1,"152,438"
,,Coronado,0,1,0,0,0,0,1,0,0,"22,482"
,,Costa Mesa,0,0,1,1,0,1,0,0,1,"110,150"
,,Covina,0,1,1,0,0,0,1,1,0,"46,946"
,,Cudahy,0,0,0,1,0,0,0,0,1,"24,337"
,,Culver City,0,1,0,0,0,0,1,0,0,"38,545"
,,Cupertino,0,2,0,0,0,1,0,1,0,"53,760"
,,Cypress,1,2,0,0,0,0,2,0,1,"47,181"
,,Daly City,2,0,0,0,0,1,0,,1,"101,284"
,,Dana Point,2,0,0,0,0,1,1,0,0,"35,756"
,,Davis,0,0,1,1,1,0,2,1,0,"62,994"
,,Delano,1,0,0,0,0,0,0,1,0,"54,801"
,,Del Mar,1,0,0,0,0,0,1,0,0,"4,453"
,,Downey,2,2,0,0,0,0,3,0,1,"107,598"
,,Duarte,2,0,0,0,0,0,1,0,1,"21,873"
,,Dublin,2,0,0,0,0,0,1,0,1,"46,157"
,,El Cerrito,0,0,0,1,0,0,1,0,0,"22,116"
,,Elk Grove,0,2,0,1,0,0,1,2,0,"140,576"
,,El Monte,4,0,0,0,0,2,2,0,0,"122,428"
,,Escalon,0,1,0,0,0,1,0,0,0,"7,414"
,,Escondido,2,1,0,1,0,2,1,1,0,"137,432"
,,Eureka,4,0,1,0,0,1,2,2,0,"25,216"
,,Fairfield,1,0,0,0,0,0,1,0,0,"104,478"
,,Farmersville,0,0,0,1,0,1,0,0,0,"10,214"
,,Fontana,0,0,1,0,0,0,0,0,1,"190,303"
,,Fountain Valley,1,1,1,0,0,0,1,2,0,"55,570"
,,Fresno,1,0,4,1,0,2,2,2,0,"481,370"
,,Fullerton,6,0,0,1,0,6,0,1,0,"132,478"
,,Galt,1,0,1,0,0,1,0,0,1,"24,554"
,,Gardena,0,0,0,1,0,0,1,0,0,"58,623"
,,Garden Grove,4,1,0,1,0,1,3,1,1,"165,837"
,,Gilroy,1,0,0,0,0,0,1,0,0,"50,946"
,,Glendale,0,0,1,1,0,0,2,0,0,"197,384"
,,Gridley,1,0,0,0,0,1,0,0,0,"6,589"
,,Hawaiian Gardens,3,0,0,0,0,2,0,1,0,"15,276"
,,Hawthorne,1,0,0,1,0,2,0,0,0,"84,314"
,,Healdsburg,0,0,0,1,0,0,1,0,0,"10,968"
,,Hemet,2,0,0,0,0,0,1,1,0,"72,417"
,,Hermosa Beach,0,0,1,0,0,0,0,0,1,"19,431"
,,Hesperia,0,0,2,0,0,1,0,1,0,"88,904"
,,Hollister,1,1,0,0,0,1,1,0,0,"34,883"
,,Huntington Beach,2,0,0,2,0,1,2,1,0,"192,911"
,,Huntington Park,1,0,0,0,0,0,1,0,0,"60,840"
,,Inglewood,2,0,1,0,0,1,0,0,2,"112,712"
,,Ione,0,0,1,0,0,1,0,0,0,"7,518"
,,Irvine,2,0,0,1,0,1,0,2,0,"215,673"
,,Laguna Beach,1,0,1,0,0,2,0,0,0,"24,019"
,,La Habra,1,1,0,0,0,0,1,1,0,"59,120"
,,Lake Elsinore,1,0,0,0,0,1,0,0,0,"54,235"
,,Lake Forest,1,0,0,0,0,0,0,1,0,"75,509"
,,Lakewood,2,0,1,0,0,0,1,1,1,"78,334"
,,La Mesa,0,1,0,0,0,0,0,0,1,"54,663"
,,Lancaster,6,0,2,2,0,1,3,4,2,"148,742"
,,La Quinta,3,0,0,0,0,0,0,1,2,"46,805"
,,La Verne,1,0,1,0,0,0,1,1,0,"33,842"
,,Lawndale,1,0,0,0,0,0,0,0,1,"31,301"
,,Lemon Grove,2,0,1,1,0,0,1,2,1,"23,997"
,,Livermore,0,0,1,0,0,0,1,0,0,"80,915"
,,Lodi,3,0,0,0,0,1,1,0,1,"61,748"
,,Lompoc,0,0,0,1,0,0,0,1,0,"41,085"
,,Long Beach,0,2,7,0,0,3,2,2,2,"463,969"
,,Los Alamitos,1,0,0,0,0,0,1,0,0,"11,668"
,,Los Angeles,74,57,36,23,0,44,76,53,17,"3,848,776"
,,Los Gatos,0,0,0,1,0,0,0,1,0,"29,388"
,,Malibu,0,1,0,0,0,1,0,0,0,"13,058"
,,Mammoth Lakes,0,0,0,1,0,0,1,0,0,"7,433"
,,Manhattan Beach,1,0,0,0,0,1,,0,0,"36,907"
,,Marina,1,0,0,0,0,0,0,0,1,"17,837"
,,Marysville,0,0,0,1,0,0,1,0,0,"11,638"
,,Millbrae,1,0,0,0,0,0,0,1,0,"20,811"
,,Milpitas,0,0,1,0,0,0,0,0,1,"68,047"
,,Mission Viejo,0,1,0,1,0,0,0,1,1,"94,552"
,,Modesto,0,1,0,0,0,1,0,0,0,"204,474"
,,Monrovia,0,1,1,0,0,1,0,0,1,"37,723"
,,Monterey Park,0,1,0,0,0,1,0,0,0,"61,353"
,,Moorpark,0,0,0,1,0,0,1,0,0,"36,919"
,,Moraga,1,0,0,0,0,0,0,1,0,"17,131"
,,Moreno Valley,4,0,0,1,0,2,2,0,1,"197,114"
,,Morro Bay,1,0,0,0,0,0,1,0,0,"10,327"
,,Mountain View,1,0,0,1,0,1,0,1,0,"71,423"
,,Mount Shasta,1,0,0,0,0,0,0,0,1,"3,528"
,,Newark,0,0,0,1,0,0,0,0,1,"41,685"
,,Newport Beach,2,0,1,2,0,1,1,3,0,"79,912"
,,Norwalk,0,0,1,1,0,0,1,1,0,"102,807"
,,Novato,1,0,0,0,0,1,0,0,0,"53,374"
,,Oakland,4,1,10,3,0,5,4,5,4,"404,553"
,,Oceanside,4,1,1,1,0,2,0,4,1,"170,579"
,,Ontario,2,0,0,0,0,1,0,1,0,"173,212"
,,Orange,3,1,0,0,0,1,3,0,0,"137,132"
,,Orinda,2,0,0,0,0,0,0,1,1,"18,536"
,,Oroville,1,0,0,0,0,0,1,0,0,"14,765"
,,Oxnard,1,0,2,0,1,3,0,0,1,"187,357"
,,Pacifica,0,0,1,0,0,1,0,0,0,"37,668"
,,Pacific Grove,1,0,0,0,0,0,1,0,0,"14,502"
,,Palmdale,6,1,1,1,1,2,3,4,1,"146,377"
,,Palm Springs,0,1,3,0,0,0,1,2,1,"48,537"
,,Palo Alto,1,1,1,1,0,3,0,0,1,"59,490"
,,Palos Verdes Estates,1,0,0,0,0,0,0,0,1,"13,610"
,,Paramount,1,0,0,1,0,2,0,0,0,"55,220"
,,Pasadena,2,1,1,1,0,1,1,2,1,"144,063"
,,Pico Rivera,1,0,0,0,0,0,1,0,0,"63,098"
,,Placentia,1,0,0,0,0,0,0,1,0,"50,041"
