State,specifier,agency,race,religion,sexualOrientation,disability,gender
,,Davis,4,3,0,0,0,0,2,4,0,1,"68,540"
,,Desert Hot Springs,1,0,0,0,0,0,1,0,0,0,"28,717"
,,Duarte,2,0,0,0,0,0,2,0,0,0,"21,877"
,,Dublin,1,0,0,0,0,0,0,1,0,0,"62,235"
,,East Palo Alto,0,1,0,0,0,0,0,0,0,1,"29,933"
,,El Cajon,4,0,2,0,0,0,0,2,3,1,"104,447"
,,Elk Grove,4,0,0,0,0,0,0,1,2,1,"172,620"
,,El Monte,2,0,1,0,0,0,1,1,0,1,"116,168"
,,El Segundo,1,0,0,0,0,0,0,0,1,0,"16,932"
,,Escondido,5,0,0,0,0,0,3,0,1,1,"152,845"
,,Fairfield,3,0,0,0,0,0,0,1,1,1,"116,372"
,,Fontana,0,2,1,0,0,0,1,1,1,0,"211,782"
,,Fort Bragg,2,1,0,0,0,0,1,1,0,1,"7,289"
,,Foster City,0,1,0,0,0,0,1,0,0,0,"34,808"
,,Fremont,1,1,0,0,0,0,0,1,1,0,"236,368"
,,Fresno,7,1,4,0,0,1,1,3,6,3,"526,371"
,,Garden Grove,7,0,0,0,0,1,3,0,4,1,"175,466"
,,Glendora,1,0,0,0,0,0,0,0,0,1,"52,133"
,,Goleta,1,0,0,0,0,0,1,0,0,0,"31,000"
,,Gonzales,1,0,0,0,0,0,1,0,0,0,"8,508"
,,Hayward,3,1,0,0,0,0,2,1,0,1,"161,417"
,,Hesperia,3,0,0,0,0,0,2,0,0,1,"94,292"
,,Highland,1,0,0,0,0,0,1,0,0,0,"55,229"
,,Hollister,1,0,0,0,0,0,0,0,1,0,"38,310"
,,Huntington Beach,2,0,0,0,0,0,0,0,1,1,"202,244"
,,Huntington Park,1,1,0,0,0,0,1,1,0,0,"59,004"
,,Indio,1,0,0,0,0,0,0,0,1,0,"90,055"
,,Inglewood,2,0,0,0,0,0,0,1,0,1,"110,811"
,,Irvine,4,0,0,0,0,0,1,0,0,3,"276,115"
,,La Canada Flintridge,0,0,0,0,3,0,0,0,3,0,"20,480"
,,Laguna Beach,2,0,0,0,0,0,1,0,1,0,"23,261"
,,La Habra,1,0,0,0,0,0,1,0,0,0,"61,878"
,,Lake Elsinore,0,1,0,0,0,0,0,0,1,0,"66,136"
,,Lakeport,0,0,1,0,0,0,0,1,0,0,"4,775"
,,Lakewood,7,0,0,0,0,0,1,1,4,1,"81,317"
,,La Mesa,1,0,1,0,0,0,0,0,2,0,"60,425"
,,Lancaster,5,0,2,0,0,0,2,2,2,1,"160,653"
,,Lemon Grove,1,0,0,0,0,0,0,0,0,1,"27,113"
,,Livermore,2,0,0,0,0,0,0,0,2,0,"90,485"
,,Lodi,1,0,0,0,0,0,0,0,1,0,"65,042"
,,Loma Linda,1,0,0,0,0,0,1,0,0,0,"24,265"
,,Lomita,1,0,0,0,0,0,0,0,0,1,"20,764"
,,Long Beach,8,3,6,0,0,0,7,3,5,2,"471,397"
,,Los Angeles,126,43,82,0,1,11,65,72,70,56,"4,007,147"
,,Los Gatos,0,1,0,0,0,0,1,0,0,0,"30,720"
,,Malibu,2,0,0,0,0,0,1,0,1,0,"12,918"
,,Manhattan Beach,0,0,1,0,0,0,0,0,0,1,"35,843"
,,Manteca,2,2,0,0,0,0,1,0,3,0,"78,564"
,,Martinez,2,4,0,1,0,0,0,2,5,0,"38,619"
,,Marysville,3,0,0,0,0,0,0,0,3,0,"12,275"
,,Menifee,1,0,0,0,0,0,0,0,0,1,"90,403"
,,Merced,1,0,0,0,0,0,0,0,0,1,"83,180"
,,Modesto,6,1,3,0,0,0,6,1,2,1,"213,677"
,,Monterey,1,0,1,0,0,0,0,0,2,0,"28,584"
,,Monterey Park,3,1,0,0,0,0,1,0,1,2,"61,210"
,,Moreno Valley,1,0,2,0,0,0,1,0,1,1,"207,418"
,,Murrieta,1,0,0,0,0,0,0,1,0,0,"113,016"
,,National City,1,0,0,0,0,0,1,0,0,0,"61,574"
,,Newark,2,1,0,0,0,0,0,2,1,0,"46,360"
,,Newport Beach,1,0,0,0,0,0,0,0,0,1,"86,910"
,,Norco,0,1,0,0,0,0,0,1,0,0,"26,654"
,,Norwalk,1,0,1,0,0,0,0,0,1,1,"106,278"
,,Novato,2,0,0,0,0,0,1,0,1,0,"56,698"
,,Oakland,9,7,2,0,0,0,8,4,4,2,"424,915"
,,Oceanside,4,1,1,0,0,0,1,1,3,1,"176,815"
,,Ontario,1,0,0,1,0,0,1,1,0,0,"174,724"
,,Orange,1,0,0,0,0,0,0,0,,1,"141,130"
